logical line,EETS stanza,EETS sect.&st.,Myklebust line,Schümmer stanza
7435,980,5p6.33,5.1128,
7442,981,5p6.34,5.1135,
7449,982,5p6.35,5.1142,
7456,983,5p6.36,5.1149,
7463,984,5p6.37,5.1156,
7470,985,5p6.38,5.1163,
7477,986,5p6.39,5.1170,
7484,987,5p6.40,5.1177,
7491,988,5p6.41,5.1184,
7498,989,5p6.42,5.1191,
7505,990,5p6.43,5.1198,
7512,991,5p6.44,5.1205,
7519,992,5p6.45,5.1212,
7526,993,5p6.46,5.1219,
7533,994,5p6.47,5.1226,
7540,995,5p6.48,5.1233,
7547,996,5p6.49,5.1240,
7554,997,5p6.50,5.1247,
7561,998,5p6.51,5.1254,
7568,999,5p6.52,5.1261,
7575,1000,5p6.53,5.1268,
7582,1001,5p6.54,5.1275,
7589,1002,5p6.55,5.1282,
