logical line,EETS stanza,EETS sect.&st.,Myklebust line,Schümmer stanza
3009,376,3p3.6,3.409,
3017,377,3p3.7,3.417,
3025,378,3p3.8,3.425,
3033,379,3p3.9,3.433,
3041,380,3p3.10,3.441,
3049,381,3p3.11,3.449,
3057,382,3p3.12,3.457,
3065,383,3p3.13,3.465,
3073,384,3p3.14,3.473,
3081,385,3m4.1,3.481,
3089,386,3p5.1,3.489,
3097,387,3p5.2,3.497,
3105,388,3p5.3,3.505,
3113,389,3p5.4,3.513,
3121,390,3p5.5,3.521,
3129,391,3p5.6,3.529,
3137,392,3p5.7,3.537,
3145,393,3p5.8,3.545,
3153,394,3p5.9,3.553,
3161,395,3p5.10,3.561,
3169,396,3p5.11,3.569,
3177,397,3p5.12,3.577,
3185,398,3p5.13,3.585,
3193,399,3p5.14,3.593,
3201,400,3p5.15,3.601,
3209,401,3m5.1,3.609,
3217,402,3m5.2,3.617,
3225,403,3p6.1,3.625,
3233,404,3p6.2,3.633,
3241,405,3p6.3,3.641,
3249,406,3p6.4,3.649,
3257,407,3p6.5,3.657,
3265,408,3p6.6,3.665,
3273,409,3p6.7,3.673,
3281,410,3m6.1,3.681,
3289,411,3m6.2,3.689,
3297,412,3m6.3,3.697,
3305,413,3p7.1,3.705,
3313,414,3p7.2,3.713,
3321,415,3p7.3,3.721,
3329,416,3p7.4,3.729,
3337,417,3m7.1,3.737,
3345,418,3p8.1,3.745,
3353,419,3p8.2,3.753,
3361,420,3p8.3,3.761,
3369,421,3p8.4,3.769,
3377,422,3p8.5,3.777,
3385,423,3p8.6,3.785,
3393,424,3p8.7,3.793,
3401,425,3p8.8,3.801,
3409,426,3p8.9,3.809,
3417,427,3m8.1,3.817,
3425,428,3m8.2,3.825,
3433,429,3m8.3,3.833,
3441,430,3m8.4,3.841,
3449,431,3p9.1,3.849,
3457,432,3p9.2,3.857,
3465,433,3p9.3,3.865,177
3473,434,3p9.4,3.873,178
3481,435,3p9.5,3.881,179
3489,436,3p9.6,3.889,180
3497,437,3p9.7,3.897,181
3505,438,3p9.8,3.905,182
3513,439,3p9.9,3.913,183
3521,440,3p9.10,3.921,184
3529,441,3p9.11,3.929,185
3537,442,3p9.12,3.937,186
3545,443,3p9.13,3.945,187
3553,444,3p9.14,3.953,188
3561,445,3p9.15,3.961,189
3569,446,3p9.16,3.969,190
3577,447,3p9.17,3.977,191
3585,448,3p9.18,3.985,192
3593,449,3p9.19,3.993,193
3601,450,3p9.20,3.1001,194
3609,451,3p9.21,3.1009,195
3617,452,3p9.22,3.1017,196
3625,453,3p9.23,3.1025,197
3633,454,3p9.24,3.1033,198
3641,455,3p9.25,3.1041,199
3649,456,3p9.26,3.1049,200
3657,457,3p9.27,3.1057,201
3665,458,3p9.28,3.1065,202
3673,459,3m9.1,3.1073,203
3681,460,3m9.2,3.1081,204
3689,461,3m9.3,3.1089,205
3697,462,3m9.4,3.1097,206
3705,463,3m9.5,3.1105,207
3713,464,3m9.6,3.1113,208
3721,465,3m9.7,3.1121,209
3729,466,3m9.8,3.1129,210
3737,467,3m9.9,3.1137,211
3745,468,3p10.1,3.1145,212
3753,469,3p10.2,3.1153,213
3761,470,3p10.3,3.1161,214
3769,471,3p10.4,3.1169,215
3777,472,3p10.5,3.1177,216
3785,473,3p10.6,3.1185,217
3793,474,3p10.7,3.1193,218
3801,475,3p10.8,3.1201,219
3809,476,3p10.9,3.1209,220
3817,477,3p10.10,3.1217,221
3825,478,3p10.11,3.1225,222
3833,479,3p10.12,3.1233,223
3841,480,3p10.13,3.1241,224
3849,481,3p10.14,3.1249,225
3857,482,3p10.15,3.1257,226
3865,483,3p10.16,3.1265,227
3873,484,3p10.17,3.1273,228
3881,485,3p10.18,3.1281,229
3889,486,3p10.19,3.1289,230
3897,487,3p10.20,3.1297,231
3905,488,3p10.21,3.1305,232
3913,489,3p10.22,3.1313,233
3921,490,3p10.23,3.1321,234
3929,491,3p10.24,3.1329,235
3937,492,3p10.25,3.1337,236
3945,493,3p10.26,3.1345,237
3953,494,3p10.27,3.1353,238
3961,495,3p10.28,3.1361,239
3969,496,3p10.29,3.1369,240
3977,497,3p10.30,3.1377,241
3985,498,3p10.31,3.1385,242
3993,499,3p10.32,3.1393,243
4001,500,3p10.33,3.1401,244
4009,501,3p10.34,3.1409,245
4017,502,3p10.35,3.1417,246
4025,503,3m10.1,3.1425,247
4033,504,3m10.2,3.1433,248
4041,505,3m10.3,3.1441,
4049,506,3m10.4,3.1449,
4057,507,3p11.1,3.1457,
4065,508,3p11.2,3.1465,
4073,509,3p11.3,3.1473,
4081,510,3p11.4,3.1481,
4089,511,3p11.5,3.1489,
4097,512,3p11.6,3.1497,
4105,513,3p11.7,3.1505,
4113,514,3p11.8,3.1513,
4121,515,3p11.9,3.1521,
4129,516,3p11.10,3.1529,
4137,517,3p11.11,3.1537,
4145,518,3p11.12,3.1545,
4153,519,3p11.13,3.1553,
4161,520,3p11.14,3.1561,
4169,521,3p11.15,3.1569,
4177,522,3p11.16,3.1577,
4185,523,3p11.17,3.1585,
4193,524,3p11.18,3.1593,
4201,525,3p11.19,3.1601,
4209,526,3p11.20,3.1609,
4217,527,3p11.21,3.1617,
4225,528,3p11.22,3.1625,
4233,529,3p11.23,3.1633,
4241,530,3p11.24,3.1641,
4249,531,3p11.25,3.1649,
4257,532,3p11.26,3.1657,
4265,533,3p11.27,3.1665,
4273,534,3p11.28,3.1673,
4281,535,3p11.29,3.1681,
4289,536,3m11.1,3.1689,
